Community-Area-Number,Community-Area,Cumulative-Deaths-2006-to-2010,Cumulative-Deaths-Rank,Average-Annual-Deaths-2006-to-2010,Average-Crude-Rate-2006-to-2010,Average-Crude-Rate-Lower-CI,Average-Crude-Rate-Upper-CI,Crude-Rate-Rank,Average-Adjusted-Rate-2006-to-2010,Average-Adjusted-Rate-Lower-CI,Average-Adjusted-Rate-Upper-CI,Adjusted-Rate-Rank,Average-Annual-Years-Of-Potential-Life-Lost-Rate-2006-to-2010,Years-Of-Potential-Life-Lost-Rate-Rank
1,Rogers Park,1741,22,348,614.2,585.3,643.1,51,895.2,852.2,939.3,29,7128,37
2,West Ridge,2612,5,522,723.6,695.8,751.4,42,689.9,663.3,717.1,58,6123,49
3,Uptown,2542,6,508,879.6,845.4,913.8,31,934,897.5,971.2,24,9147,31
4,Lincoln Square,1108,40,222,547,514.8,579.2,60,698.7,657.4,741.3,53,5344,62
5,North Center,690,59,138,433,400.7,465.3,68,681.2,630.1,734.3,61,4058,74
6,Lake View,1914,14,383,405.3,387.1,423.5,70,599.5,572.2,627.5,70,3281,76
7,Lincoln Park,1424,30,285,443.9,420.8,467,67,698.7,662,736.5,53,2962,77
8,Near North Side,2054,10,411,520.3,497.8,542.8,62,518.9,496.2,542.1,77,4481,70
9,Edison Park,520,65,104,928.5,848.7,1008.3,24,649.9,593.9,708.4,66,5554,59
10,Norwood Park,2372,7,474,1276.9,1225.5,1328.3,4,699.6,669.5,730.4,52,5994,52
11,Jefferson Park,1175,37,235,920.5,867.9,973.1,25,725.7,684.3,768.2,46,7090,38
12,Forest Glen,726,55,145,787.4,730.1,844.7,38,572.5,531,615.6,74,4136,73
13,North Park,702,57,140,777.9,720.4,835.4,39,551.2,510.3,593.7,75,4424,72
14,Albany Park,1251,34,250,474.2,447.9,500.5,64,680.9,642.8,720.1,62,4913,69
15,Portage Park,2199,8,440,683.3,654.7,711.9,47,693.2,664.3,722.8,56,6692,42
16,Irving Park,1542,26,308,566.7,538.4,595,57,742.8,705.4,781.2,41,6265,47
17,Dunning,1818,17,364,866.2,826.4,906,32,672.4,641.4,704.1,64,6230,48
18,Montclaire,558,61,112,841,771.2,910.8,34,736.6,675.5,800.3,43,6574,43
19,Belmont Cragin,1838,16,368,467.5,446.1,488.9,65,693.2,660.9,726.4,56,5989,53
20,Hermosa,484,68,97,381.3,347.3,415.3,73,652.3,591,716.5,65,6392,46
21,Avondale,922,45,184,460.7,431,490.4,66,707.8,661,756.2,51,6003,51
22,Logan Square,1461,29,292,390.8,370.8,410.8,71,718.2,679.9,757.5,48,5153,64
23,Humboldt park,1816,18,363,623.8,595.1,652.5,50,958.9,911.1,1007.9,23,11694,23
24,West Town,1800,19,360,432.3,412.3,452.3,69,738,703.2,773.6,42,5249,63
25,Austin,4635,1,927,906,879.9,932.1,27,1082.5,1050.3,1115.2,10,14206,13
26,West Garfield Park,1002,43,200,1054.5,989.2,1119.8,17,1254.4,1176.5,1334.7,2,18401,1
27,East Garfield Park,959,44,192,929.7,870.9,988.5,23,1127,1055.6,1200.8,7,15648,7
28,Near West Side,1282,33,256,482.1,455.7,508.5,63,793.4,748.9,839.2,37,6778,39
29,North Lawndale,1595,24,319,860.2,818,902.4,33,1061.9,1009.7,1115.4,12,15106,8
30,South Lawndale,1167,38,233,285.9,269.5,302.3,77,588,551.1,626,71,5114,66
31,Lower West Side,723,56,145,386.4,358.2,414.6,72,632.9,585.5,682,68,6073,50
32,Loop,453,69,91,339.3,308.1,370.5,76,525,475.1,577.5,76,3503,75
33,Near South Side,536,63,107,563.8,516.1,611.5,58,714.6,653.9,778.1,49,5749,56
34,Armour Square,533,64,107,812.6,743.6,881.6,36,582.1,533.1,633.3,73,4993,67
35,Douglas,1350,31,270,1357.8,1285.4,1430.2,2,1182.8,1118.9,1248.3,4,12522,18
36,Oakland,207,76,41,695.1,600.4,789.8,44,908,786.6,1038,26,9323,30
37,Fuller Park,230,74,46,1541.1,1341.9,1740.3,1,1313.4,1146.1,1492,1,17951,2
38,Grand Boulevard,1209,36,242,1044.7,985.8,1103.6,18,999,943.2,1056.4,18,12466,19
39,Kenwood,742,53,148,827,767.5,886.5,35,698.2,648.2,750,55,8889,32
40,Washington Park,546,62,109,894.9,819.8,970,29,1234.6,1129.6,1344.2,3,17469,3
41,Hyde Park,779,50,156,587.3,546.1,628.5,54,586.2,545,628.9,72,4451,71
42,Woodlawn,1155,39,231,946.4,891.8,1001,22,1038.2,978.7,1099.4,14,11787,22
43,South Shore,2919,2,584,1082.7,1043.4,1122,13,1061.2,1022.7,1100.4,13,14313,12
44,Chatham,1949,13,390,1207.7,1154.1,1261.3,8,928.9,887.2,971.6,25,13212,17
45,Avalon Park,603,60,121,1162.1,1069.3,1254.9,9,883.8,813.2,957.4,31,12021,21
46,South Chicago,1482,28,296,907,860.8,953.2,26,962,913.1,1012.1,22,13710,15
47,Burnside,170,77,34,1136.5,965.7,1307.3,10,1036.7,884.3,1201,15,14180,14
48,Calumet Heights,867,47,173,1217.3,1136.3,1298.3,7,893,832,956.1,30,11393,25
49,Roseland,2820,3,564,1219.7,1174.7,1264.7,6,1067.2,1027.8,1107.4,11,14448,10
50,Pullman,367,73,73,960.2,862,1058.4,21,972.6,873,1077.6,21,11175,26
51,South Deering,700,58,140,904.1,837.1,971.1,28,900.9,834.7,969.7,27,12266,20
52,East Side,800,49,160,690.7,642.8,738.6,45,786.5,732.7,842.1,38,6445,45
53,West Pullman,1570,25,314,1011.3,961.3,1061.3,19,1133.2,1075.1,1192.8,6,14987,9
54,Riverdale,210,75,42,587.6,508.1,667.1,53,996.1,859.4,1142.8,19,11497,24
55,Hegewisch,504,67,101,1061.4,968.7,1154.1,16,864.6,790.1,942.3,34,7265,36
56,Garfield Ridge,1975,11,395,1134.1,1084.1,1184.1,11,873.9,835.2,913.4,32,8299,33
57,Archer Heights,424,71,85,640.3,579.4,701.2,48,743.5,673.9,816.5,40,5936,54
58,Brighton Park,854,48,171,377.2,351.9,402.5,74,640.5,596.5,686.1,67,5471,60
59,McKinley Park,420,72,84,535.6,484.4,586.8,61,721.2,652.5,793.3,47,6479,44
60,Bridgeport,1009,42,202,624.4,585.9,662.9,49,714.1,670.2,759.4,50,6704,41
61,New City,1350,31,270,588.9,557.5,620.3,52,985.3,930.1,1042.2,20,9921,29
62,West Elsdon,511,66,102,578.3,528.2,628.4,56,683.1,624.5,744.4,60,5150,65
63,Gage Park,741,54,148,372.8,346,399.6,75,731.5,676.3,788.8,45,5656,57
64,Clearing,1019,41,204,887,832.5,941.5,30,831.4,781,883.4,36,7427,35
65,West Lawn,890,46,178,547.2,511.2,583.2,59,688.1,642.9,734.7,59,5648,58
66,Chicago Lawn,1644,23,329,579,551,607,55,895.3,850.1,941.7,28,10214,28
67,West Englewood,1888,15,378,1008,962.5,1053.5,20,1115.8,1065,1167.7,8,17097,4
68,Englewood,1757,20,351,1079,1028.5,1129.5,15,1169,1114.7,1224.6,5,16617,5
69,Greater Grand Crossing,2094,9,419,1238.9,1185.8,1292,5,1115,1066.9,1164.1,9,16304,6
70,Ashburn,1524,27,305,747.4,709.9,784.9,40,843.4,801.3,886.7,35,7653,34
71,Auburn Gresham,2708,4,542,1079.3,1038.6,1120,14,1006.8,968.7,1045.5,17,14398,11
72,Beverly,744,52,149,728.5,676.2,780.8,41,732.9,680.4,787.3,44,5892,55
73,Washington Heights,1750,21,350,1288.5,1228.1,1348.9,3,1015.7,967.6,1065,16,13520,16
74,Mount Greenwood,755,51,151,793.1,736.5,849.7,37,752,698.7,807.2,39,4966,68
75,Morgan Park,1251,34,250,1084,1023.9,1144.1,12,867.5,819.1,917.3,33,10531,27
76,O'Hare,439,70,88,697,631.8,762.2,43,619.5,562.4,679.4,69,5368,61
77,Edgewater,1975,11,395,685.1,654.9,715.3,46,673.2,643.5,703.5,63,6723,40
