index,name,color
1,navy,#000080
2,mediumblue,#0000cd
3,blue,#0000ff
4,darkgreen,#006400
5,teal,#008080
6,darkcyan,#008b8b
7,deepskyblue,#00bfff
8,darkturquoise,#00ced1
9,,#900C3F
10,,#FF5733
11,midnightblue,#191970
12,dodgerblue,#1e90ff
13,seagreen,#2e8b57
14,darkslategrey,#2f4f4f
15,turquoise,#40e0d0
16,royalblue,#4169e1
17,steelblue,#4682b4
18,darkslateblue,#483d8b
19,indigo,#4b0082
20,darkolivegreen,#556b2f
21,cadetblue,#5f9ea0
22,cornflowerblue,#6495ed
23,rebeccapurple,#663399
24,mediumaquamarine,#66cdaa
25,dimgrey,#696969
26,slateblue,#6a5acd
27,olivedrab,#6b8e23
28,slategray,#708090
29,mediumslateblue,#7b68ee
30,maroon,#800000
31,olive,#808000
32,skyblue,#87ceeb
33,blueviolet,#8a2be2
34,darkred,#8b0000
35,darkmagenta,#8b008b
36,darkseagreen,#8fbc8f
37,mediumpurple,#9370db
38,darkviolet,#9400d3
39,darkorchid,#9932cc
40,sienna,#a0522d
41,brown,#a52a2a
42,darkgray,#a9a9a9
43,powderblue,#b0e0e6
44,firebrick,#b22222
45,darkgoldenrod,#b8860b
46,mediumorchid,#ba55d3
47,rosybrown,#bc8f8f
48,darkkhaki,#bdb76b
49,mediumvioletred,#c71585
50,indianred,#cd5c5c
51,peru,#cd853f
52,chocolate,#d2691e
53,tan,#d2b48c
54,,#C70039
55,orchid,#da70d6
56,crimson,#dc143c
57,,#567890
58,plum,#dda0dd
59,burlywood,#deb887
60,darksalmon,#e9967a
61,violet,#ee82ee
62,sandybrown,#f4a460
63,salmon,#fa8072
64,red,#ff0000
65,fuchsia,#ff00ff
66,deeppink,#ff1493
67,orangered,#ff4500
68,tomato,#ff6347
69,hotpink,#ff69b4
70,coral,#ff7f50
71,darkorange,#ff8c00
72,orange,#ffa500
73,,#0b5345
74,,#cc33ff
75,,#123456
76,,#234567
77,,#345678
78,,#456789
