Community-Area-Number,Community-Area,color,note,x,y,dx,dy
1,Rogers Park,#000080,,,,,
2,West Ridge,#0000cd,,,,,
3,Uptown,#0000ff,,,,,
4,Lincoln Square,#006400,,,,,
5,North Center,#008080,,,,,
6,Lakeview,#008b8b,,,,,
7,Lincoln Park,#00bfff,,,,,
8,Near North Side,#00ced1,,,,,
9,Edison Park,#900C3F,,,,,
10,Norwood Park,#FF5733,,,,,
11,Jefferson Park,#191970,,,,,
12,Forest Glen,#1e90ff,,,,,
13,North Park,#2e8b57,,,,,
14,Albany Park,#2f4f4f,,,,,
15,Portage Park,#40e0d0,,,,,
16,Irving Park,#4169e1,,,,,
17,Dunning,#4682b4,,,,,
18,Montclare ,#483d8b,,,,,
19,Belmont Cragin,#4b0082,,,,,
20,Hermosa,#556b2f,,,,,
21,Avondale,#5f9ea0,,,,,
22,Logan Square,#6495ed,,,,,
23,Humboldt Park,#663399,,,,,
24,West Town,#66cdaa,,,,,
25,Austin,#696969,,,,,
26,West Garfield Park,#6a5acd,,,,,
27,East Garfield Park,#6b8e23,,,,,
28,Near West Side,#708090,,,,,
29,North Lawndale,#7b68ee,,,,,
30,South Lawndale,#800000,,,,,
31,Lower West Side,#808000,,,,,
32,Loop,#87ceeb,,,,,
33,Near South Side,#8a2be2,,,,,
34,Armour Square,#8b0000,,,,,
35,Douglas ,#8b008b,,,,,
36,Oakland,#8fbc8f,,,,,
37,Fuller Park,#9370db,,,,,
38,Grand Boulevard,#9400d3,,,,,
39,Kenwood,#9932cc,,,,,
40,Washington Park,#a0522d,,,,,
41,Hyde Park,#a52a2a,,,,,
42,Woodlawn,#a9a9a9,,,,,
43,South Shore,#b0e0e6,,,,,
44,Chatham,#b22222,,,,,
45,Avalon Park,#b8860b,,,,,
46,South Chicago,#ba55d3,,,,,
47,Burnside,#bc8f8f,,,,,
48,Calumet Heights,#bdb76b,,,,,
49,Roseland,#c71585,,,,,
50,Pullman,#cd5c5c,,,,,
51,South Deering,#cd853f,,,,,
52,East Side,#d2691e,,,,,
53,West Pullman,#d2b48c,,,,,
54,Riverdale,#C70039,,,,,
55,Hegewisch,#da70d6,,,,,
56,Garfield Ridge,#dc143c,,,,,
57,Archer Heights,#567890,,,,,
58,Brighton Park,#dda0dd,,,,,
59,McKinley Park,#deb887,,,,,
60,Bridgeport,#e9967a,,,,,
61,New City,#ee82ee,,,,,
62,West Elsdon,#f4a460,,,,,
63,Gage Park,#fa8072,,,,,
64,Clearing,#ff0000,,,,,
65,West Lawn,#ff00ff,,,,,
66,Chicago Lawn,#ff1493,,,,,
67,West Englewood,#ff4500,,,,,
68,Englewood,#ff6347,,,,,
69,Greater Grand Crossing,#ff69b4,,,,,
70,Ashburn,#ff7f50,,,,,
71,Auburn Gresham,#ff8c00,,,,,
72,Beverly,#ffa500,,,,,
73,Washington Heights,#0b5345,,,,,
74,Mount Greenwood,#cc33ff,,,,,
75,Morgan Park,#123456,,,,,
76,O'Hare,#234567,,,,,
77,Edgewater,#345678,,,,,
