x,y,color,Zipcode,Community-Area-Number,Community-Area
182.5372071,80.57013692,#191970,60656,10,Norwood Park
238.7306032,323.1704478,#567890,60638,56,Garfield Ridge
291.8461721,376.5251699,#ff1493,60652,65,West Lawn
295.2040377,340.1198764,#567890,60629,56,Garfield Ridge
260.6846217,116.6533011,#40e0d0,60641,14,Albany Park
306.1471314,81.65081783,#008080,60625,4,Lincoln Square
353.4055883,147.8258759,#008b8b,60614,5,North Center
336.0748678,34.62526204,#0000cd,60626,1,Rogers Park
367.3990997,187.7863997,#900C3F,60654,8,Near North Side
336.7330836,468.8326546,#ee825d,60406,null,
327.8738173,17.12900219,#ee825d,60202,null,
203.4845101,117.2759777,#4169e1,60634,15,Portage Park
397.4324034,511.3765623,#dafb9a,60419,null,
377.2022003,249.2844099,#7b68ee,60616,28,Near West Side
250.6171243,83.22136283,#191970,60630,10,Norwood Park
266.469281,174.9505576,#66cdaa,60651,23,Humboldt Park
311.5728685,35.39995628,#0000cd,60645,1,Rogers Park
203.2327295,166.0777289,#910aea,60305,null,
375.9836542,206.3643086,#8a2be2,60604,32,Loop
297.5934969,458.7499331,#234ebc,60803,null,
110.4786785,72.16124142,#345678,60018,76,O'Hare
271.732674,49.37318993,#2ebe26,60712,null,
170.7103848,128.5877188,#2ebe26,60171,null,
288.8989236,245.5627907,#800000,60623,29,North Lawndale
334.1340618,244.7708194,#7b68ee,60608,28,Near West Side
318.2118572,203.4504937,#66cdaa,60612,23,Humboldt Park
382.151241,196.9194194,#8a2be2,60601,32,Loop
302.3218473,58.28262096,#0000ff,60659,2,West Ridge
78.79540322,51.85526259,#345678,60007,76,O'Hare
266.0917766,380.3358309,#0065da,60459,null,
207.6085953,327.2656237,#0065da,60501,null,
400.4913316,332.8603606,#a52a2a,60637,40,Washington Park
283.4561864,203.0287912,#66cdaa,60624,23,Humboldt Park
360.7471452,199.9111534,#696969,60661,24,West Town
353.4391461,210.5021083,#7b68ee,60607,28,Near West Side
350.491712,125.5031595,#008b8b,60657,5,North Center
347.4037797,104.5281674,#006400,60613,3,Uptown
304.5868796,150.5677112,#00ced1,60647,7,Lincoln Park
394.0446927,283.324534,#8fbc8f,60653,35,Douglas 
300.4403287,406.9236354,#010b10,60805,null,
196.5533564,53.03325492,#FF5733,60631,9,Edison Park
106.9172203,107.2821947,#345678,60131,76,O'Hare
427.8901125,511.254766,#daf57f,60409,null,
378.8595878,203.625743,#8a2be2,60603,32,Loop
342.1551676,82.81879919,#006400,60640,3,Uptown
297.5777326,25.57931733,#159d22,60076,null,
211.7380683,169.4009595,#159d22,60302,null,
233.768737,212.817807,#159d22,60304,null,
438.3044828,479.1236533,#cd853f,60633,50,Pullman
293.3254451,293.650488,#808000,60632,30,South Lawndale
342.5094726,439.5584975,#C70039,60643,53,West Pullman
353.1200539,385.6193513,#b8860b,60620,44,Chatham
336.4193372,340.2063504,#ff0000,60636,63,Gage Park
349.4960641,292.154407,#8b008b,60609,34,Armour Square
398.332347,382.069597,#b22222,60619,43,South Shore
383.2488811,219.9126897,#8a2be2,60605,32,Loop
448.3171182,418.2558801,#ba55d3,60617,45,Avalon Park
83.12867893,78.22436146,#345678,60106,76,O'Hare
223.0004855,44.2096331,#2e8b57,60714,12,Forest Glen
176.7725207,84.69821788,#4169e1,60706,15,Portage Park
301.4885181,444.8024354,#0b5345,60655,72,Beverly
432.6522681,357.0047206,#b0e0e6,60649,42,Woodlawn
250.254206,203.5641636,#6a5acd,60644,25,Austin
303.7919282,116.1873031,#008080,60618,4,Lincoln Square
386.3507397,185.7645671,#900C3F,60611,8,Near North Side
347.1873661,175.5338404,#00ced1,60642,7,Lincoln Park
375.3130046,199.8501681,#8a2be2,60602,32,Loop
339.7143938,58.29954346,#0000cd,60660,1,Rogers Park
262.50895,273.62186,#6a5acd,60804,25,Austin
275.24094,393.8524651,#6239ce,60456,null,
246.1267031,37.89753064,#6239ce,60077,null,
132.3606366,100.2398249,#345678,60176,76,O'Hare
211.6261362,149.9652762,#483d8b,60707,17,Dunning
402.9883462,502.5738084,#C70039,60827,53,West Pullman
386.2635299,449.6457716,#cd5c5c,60628,49,Roseland
365.1580394,339.3661483,#a52a2a,60621,40,Washington Park
367.323343,201.1665861,#7b68ee,60606,28,Near West Side
401.3195219,305.6628462,#9932cc,60615,38,Grand Boulevard
248.1919696,55.8758117,#191970,60646,10,Norwood Park
251.6528956,150.7802036,#556b2f,60639,19,Belmont Cragin
322.5159039,174.1736735,#663399,60622,22,Logan Square
368.2713216,171.3866167,#00ced1,60610,7,Lincoln Park
